ATC,DB,Farmaco
J05AF06,DB01048,ABACAVIR
J05AR02,DB01048,ABACAVIR-LAMIVUDINA
L04AA24,DB01281,ABATACEPT
B01AC13,DB00054,ABCIXIMAB
L01EF03,DB12001,ABEMACICLIB
L02BX03,DB05812,ABIRATERONA
D11AH08,DB14973,ABROCITINIB
L01EL02,DB11703,ACALABRUTINIB
M01AB11,DB13783,ACEMETACINA
B01AA07,DB01418,ACENOCUMAROL
S01EC01,DB00819,ACETAZOLAMIDA
R05CB01,DB06151,ACETILCISTEINA
N07AB01,DB03128,ACETILCOLINA
J05AB01,DB00787,ACICLOVIR
B01AC06,DB00945,ACIDO ACETILSALICILICO
C10BX06,DB00178,ACIDO ACETILSALICILICO/ATORVASTATINA/RAMIPRIL
M05BA04,DB00630,ACIDO ALENDRONICO
B02AA01,DB00513,ACIDO AMINOCAPROICO
A11GA01,DB00126,ACIDO ASCORBICO (VITAMINA C)
A16AA05,DB06775,ACIDO CARGLUMICO
B03BB01,DB00158,ACIDO FOLICO
B03AD04,DB15763,ACIDO FOLICO/HIERRO POLIMALTOSADO
V03AF03,DB00650,ACIDO FOLINICO
L04AA06,DB01024,ACIDO MICOFENOLICO
G04BX51,DB00779,ACIDO NALIDIXICO/FENAZOPIRIDINA
D10AD01,DB00755,ACIDO RETINOICO
M05BA07,DB00884,ACIDO RISEDRONICO
M05BB07,DB00884,ACIDO RISEDRONICO/COLECALCIFEROL
A16AX01,DB06253,ACIDO TIOCTICO
B02AA02,DB00302,ACIDO TRANEXAMICO
A05AA02,DB01586,ACIDO URSODEOXICOLICO
N03AG01,DB00313,ACIDO VALPROICO
M05BA08,DB00399,ACIDO ZOLEDRONICO
A11AA01,DB11133,ACIDOS GRASOS OMEGA-3
L04AB04,DB00051,ADALIMUMAB
A16AA02,DB00118,ADEMETIONINA
C01EB10,DB00640,ADENOSINA
L01EB03,DB08916,AFATINIB
L01XX44,DB08885,AFLIBERCEPT
A16AB03,DB15874,AGALSIDASA ALFA
A16AB04,DB00103,AGALSIDASA BETA
B05XB02,DB11876,ALANINA/LEVOGLUTAMINA
P02CA03,DB00518,ALBENDAZOL
B05AA01,DB00062,ALBUMINA HUMANA
S01XA20,DB11060,ALCOHOL POLIVINILICO
L01ED03,DB11363,ALECTINIB
L04AA34,DB00087,ALEMTUZUMAB
V06DD01,DB09393,ALFA CETOANALOGOS DE AMINOACIDOS
N04BC02,DB13385,ALFA-DEHIDROERGOCRIPTINA
R05CB13,DB00003,ALFA-DORNASA
A16AB07,DB01272,ALGLUCOSIDASA ALFA
D02AF,SINDB,ALIBOUR
C09XA02,DB09026,ALISKIREN
C09DB01,DB09026,ALISKIREN/AMLODIPINO
C09DX04,DB09026,ALISKIREN/AMLODIPINO/HIDROCLOROTIAZIDA
C09XA52,DB09026,ALISKIREN/HIDROCLOROTIAZIDA
A02AD02,DB08938,ALMAGATO
M04AA01,DB00437,ALOPURINOL
N05BA12,DB00404,ALPRAZOLAM
C01EA01,DB00770,ALPROSTADIL
B01AD02,DB00009,ALTEPLASA
A02AD01,DB06723,ALUMINIO/MAGNESIO
A03AX13,DB01616,ALVERINA/SIMETICONA
N04BB01,DB00915,AMANTADINA
N02BE51,DB00915,AMANTADINA/CLORFENAMINA/PARACETAMOL
R05CB06,DB06742,AMBROXOL
J02AA01,DB00681,AMFOTERICINA B
J02AA01,DB00681,AMFOTERICINA B LIPOSOMAL
V03AF05,DB01143,AMIFOSTINA
J01GB06,DB00479,AMIKACINA
R03DA05,DB01223,AMINOFILINA
C01BD01,DB01118,AMIODARONA
N05AL05,DB06288,AMISULPRIDA
N06AA09,DB00321,AMITRIPTILINA
N06AA09,DB00321,AMITRIPTILINA/DIAZEPAM/PERFENACINA
L01FX02,DB16695,AMIVANTAMAB
C08CA01,DB00381,AMLODIPINO
C09DB06,DB00381,AMLODIPINO/LOSARTAN
C09DB01,DB00381,AMLODIPINO/VALSARTAN
C09DX01,DB00381,AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA
J01CA04,DB01060,AMOXICILINA
J01CR02,DB01060,AMOXICILINA/ACIDO CLAVULANICO
J01CA01,DB00415,AMPICILINA
L02BG03,DB01217,ANASTROZOL
V03AB38,DB14562,ANDEXANET ALFA
N06AX12,DB01156,ANFEBUTAMONA (BUPROPION)
J02AX06,DB00362,ANIDULAFUNGINA
L04AA47,DB11976,ANIFROLUMAB
B01AB02,DB11598,ANTITROMBINA III
L02BB05,DB11901,APALUTAMIDA
B01AF02,DB06605,APIXABAN
N04BC07,DB00714,APOMORFINA
A04AD12,DB00673,APREPITANT
N05AX12,DB01238,ARIPIPRAZOL
A16AB13,DB09105,ASFOTASA ALFA
L01XX02,DB00023,ASPARAGINASA R-L
C07AB03,DB00335,ATENOLOL
L01FF05,DB11595,ATEZOLIZUMAB
N06BA09,DB00289,ATOMOXETINA
C10AA05,DB01076,ATORVASTATINA
C10BA05,DB01076,ATORVASTATINA/EZETIMIBA
G02CX01,DB09059,ATOSIBAN
A03BA01,DB00572,ATROPINA
L01FF03,DB11945,AVELUMAB
L01EK01,DB06626,AXITINIB
L01BC07,DB00928,AZACITIDINA
L04AX01,DB00993,AZATIOPRINA
C09CA09,DB08822,AZILSARTAN
C09DA09,DB08822,AZILSARTAN/CLORTALIDONA
J01FA10,DB00207,AZITROMICINA
A07FA01,DB16537,BACILLUS CLAUSII
D02AC,SINDB,BAÑO COLOIDE
L04AA37,DB11817,BARICITINIB
L04AA01,DB00074,BASILIXIMAB
L03AX03,DB12768,BCG INMUNOTERAPEUTICO
R03BA01,DB00394,BECLOMETASONA DIPROPIONATO
R03AK07,DB00394,BECLOMETASONA/FORMOTEROL
